Brand,Model,Capacity - Ah:,Discharge Current:,min Cost:,Kwh for Min cost,Chemistry,Price:,Voltage:,Cost KwH:
Envision,ESS 72173207,305000,305.00,1829.25,14.64,LIFEPO4,€121.95,3.2V,124.94877049180326
Calb,L173F230,230000,230.00,1461.75,11.04,LIFEPO4,€97.45,3.2V,132.40489130434784
EVE,LF280K,280000,280.00,1799.25,13.44,LIFEPO4,€119.95,3.2V,133.87276785714286
EVE,LF22K,22000,66.00,329.25,1.056,LIFEPO4,€21.95,3.2V,311.7897727272727
EVE,LF230,230000,230.00,1499.25,11.04,LIFEPO4,€99.95,3.2V,135.80163043478262
EVE,LF32K,32000,32.00,374.84999999999997,1.536,LIFEPO4,€24.99,3.2V,244.04296874999997
Calb,L194F130A,130000,130.00,876.75,6.24,LIFEPO4,€58.45,3.2V,140.50480769230768
EVE,LF230,230000,230.00,1424.25,11.04,LIFEPO4,"
		    €94.95


",3.2V,129.00815217391306
EVE,LF280K,280000,280.00,1799.25,13.44,LIFEPO4,€119.95,3.2V,133.87276785714286
BYD,C13,125000,375.00,1079.25,6.0,LIFEPO4,€71.95,3.2V,179.875
Catl,LIFEPO4,228000,207.00,1743.2,10.944,3.2V,€108.95,3.199555,149.34916799148084
EVE,LF50K,50000,50.00,569.85,2.4,LIFEPO4,€37.99,3.2V,237.43750000000003
Calb,L173F280A,280000,280.00,1934.2499999999998,13.44,LIFEPO4,€128.95,3.2V,143.9174107142857
CBAK,32140FS,15000,140.00,126.74999999999999,0.72,LIFEPO4,€8.45,3.2V,176.04166666666663
EVE,C40,20000,140.00,209.25,0.96,LIFEPO4,€13.95,3.2V,217.96875000000003
EVE,LF304,304000,304.00,1881.75,14.592,LIFEPO4,€125.45,3.2V,128.95764802631578
EVE,LF304,304000,304.00,1949.2499999999998,14.592,LIFEPO4,€129.95,3.2V,133.58347039473682
Calb,L173F125A,125000,125.00,839.25,6.0,LIFEPO4,€55.95,3.2V,139.875
Lithium Werks (A123 systems),ANR26650,2500,"2,500.00",134.25,0.12,26650,€8.95, 3.2V,1118.75
Gotion,IFP52148102,87000,120.00,614.25,4.176,LIFEPO4,€40.95,3.2V,147.0905172413793
Yinlong,66160H,40000,210.00,1153.95,1.92,LTO,€54.95,2.3V,597.2826086956522
EVE,LF50K,50000,50.00,509.25000000000006,2.4,LIFEPO4,€33.95,3.2V,212.18750000000003
Calb,L148F88A,88000,88.00,689.25,4.224,LIFEPO4,€45.95,3.2V,163.1747159090909
Lishen,LP71173207,280000,280.00,1784.25,13.44,LIFEPO4,€118.95,3.2V,132.75669642857142
Calb,L300F187,187000,187.00,1304.25,8.975999999999999,LIFEPO4,€86.95,3.2V,145.30414438502672
JGNE,JGCFR26650-4000mAh-3.2V,3950,"3,950.00",47.25,0.18960000000000002,26650,€3.15, 3.2V,249.20886075949363
Catl,LF302,302000,302.00,2174.25,14.496,LIFEPO4,€144.95,3.2V,149.98965231788077
EVE,LIFEPO4,280000,200.00,1967.2,13.44,3.2V,€122.95,3.199555,137.24006708968682
Catl,LF173,173000,173.00,1154.25,8.304,LIFEPO4,€76.95,3.2V,138.9992774566474
REPT,280P,280000,280.00,1799.25,13.44,LIFEPO4,€119.95,3.2V,133.87276785714286
JGNE,HTCFR26650,3550,"3,550.00",56.85,0.17039999999999902,26650,€3.79, 3.2V,333.62676056338034
Real cell,IFR26650PE,3350,"3,350.00",33.75,0.1608,26650,€2.25, 3.2V,209.88805970149255
JGNE,26650,3750,11.40,44.85,0.18,LIFEPO4,€2.99,3.2V,249.16666666666666
JGNE,HTPFR26650,2900,"2,900.00",59.25,0.13920000000000002,26650,€3.95, 3.2V,425.64655172413796
EVE,LF105,105000,105.00,749.25,5.04,LIFEPO4,€49.95,3.2V,148.66071428571428
JGNE,MH48108,1500,"1,500.00",22.35,0.07200000000000001,18650,€1.49, 3.2V,310.4166666666667
JGNE,18650,1050,33.00,33.75,0.05040000000000001,LIFEPO4,€2.25,3.2V,669.642857142857
Catl,CB310,280000,140.00,1799.25,13.44,LIFEPO4,€119.95,3.2V,133.87276785714286
EVE,LF105,105000,105.00,824.25,5.04,LIFEPO4,€54.95,3.2V,163.54166666666666
JGNE,MH48108,1700,"1,700.00",25.349999999999998,0.081599999999999,18650,€1.69, 3.2V,310.6617647058824
